,BTree,DynamicPGM,LIPP
fb,0.8403763333333334,8.950223333333334,1.5575299999999999
osmc,0.8180943333333334,7.9299800000000005,1.2659166666666666
books,0.9174446666666668,8.73869,2.1841666666666666
